Country,Human_development,GII,Maternal_mortality,Adolescent_birth_rate,Seats_parliament,F_secondary_educ,M_secondary_educ,F_Labour_force,M_Labour_force,HDIR,HDI,LEAB,EYS,MYS,GNI,ISO-Code
Switzerland,Very high,0.018,5.0,2.2,39.8,96.9,97.5,61.7,72.7,1,0.962,84.0,16.5,13.9,"66,933",CHE
Norway,Very high,0.016,2.0,2.3,45.0,99.1,99.3,60.3,72.0,2,0.961,83.2,18.2,13.0,"64,660",NOR
Iceland,Very high,0.043,4.0,5.4,47.6,99.8,99.7,61.7,70.5,3,0.959,82.7,19.2,13.8,"55,782",ISL
Hong Kong,Very high,,,1.6,,77.1,83.4,53.5,65.8,4,0.952,85.5,17.3,12.2,"62,607",HKG
Australia,Very high,0.073,6.0,8.1,37.9,94.6,94.4,61.1,70.5,5,0.951,84.5,21.1,12.7,"49,238",AUS
Denmark,Very high,0.013,4.0,1.9,39.7,95.1,95.2,57.7,66.7,6,0.948,81.4,18.7,13.0,"60,365",DNK
Sweden,Very high,0.023,4.0,3.3,47.0,91.8,92.2,61.7,68.0,7,0.947,83.0,19.4,12.6,"54,489",SWE
Ireland,Very high,0.074,5.0,5.9,27.3,88.1,86.0,56.5,68.6,8,0.945,82.0,18.9,11.6,"76,169",IRL
Germany,Very high,0.073,7.0,7.5,34.8,96.1,96.5,56.8,66.0,9,0.942,80.6,17.0,14.1,"54,534",DEU
Netherlands,Very high,0.025,5.0,2.8,39.1,89.8,92.7,62.4,71.3,10,0.941,81.7,18.7,12.6,"55,979",NLD
Finland,Very high,0.033,3.0,4.2,46.0,99.0,98.5,56.5,64.0,11,0.94,82.0,19.1,12.9,"49,452",FIN
Singapore,Very high,0.04,8.0,2.6,29.8,80.5,85.9,59.4,76.8,12,0.939,82.8,16.5,11.9,"90,919",SGP
Belgium,Very high,0.048,5.0,5.3,42.9,87.2,89.7,49.8,58.8,13,0.937,81.9,19.6,12.4,"52,293",BEL
New Zealand,Very high,0.088,9.0,12.6,49.2,82.0,81.8,65.1,75.3,13,0.937,82.5,20.3,12.9,"44,057",NZL
Canada,Very high,0.069,10.0,7.0,34.4,100.0,100.0,60.8,69.7,15,0.936,82.7,16.4,13.8,"46,808",CAN
Liechtenstein,Very high,,,3.0,28.0,,,,,16,0.935,83.3,15.2,12.5,"146,830",LIE
Luxembourg,Very high,0.044,5.0,4.3,35.0,100.0,100.0,58.5,65.5,17,0.93,82.6,14.4,13.0,"84,649",LUX
United Kingdom,Very high,0.098,7.0,10.5,31.1,99.8,99.8,58.0,67.1,18,0.929,80.7,17.3,13.4,"45,225",GBR
Japan,Very high,0.083,5.0,2.9,14.2,95.9,92.7,53.3,71.0,19,0.925,84.8,15.2,13.4,"42,274",JPN
South Korea,Very high,0.067,11.0,2.2,19.0,83.1,93.1,53.4,72.4,-1,,,,,,
United States,Very high,0.179,19.0,16.0,27.0,96.5,96.4,55.2,66.4,21,0.921,77.2,16.3,13.7,"64,765",USA
Israel,Very high,0.083,3.0,7.6,28.3,91.6,93.7,58.5,66.1,22,0.919,82.3,16.1,13.3,"41,524",ISR
Malta,Very high,0.167,6.0,11.5,13.4,82.2,88.1,53.1,71.4,23,0.918,83.8,16.8,12.2,"38,884",MLT
Slovenia,Very high,0.071,7.0,4.5,21.5,97.6,98.7,53.8,62.2,23,0.918,80.7,17.7,12.8,"39,746",SVN
Austria,Very high,0.053,5.0,5.5,39.3,100.0,100.0,55.5,66.3,25,0.916,81.6,16.0,12.3,"53,619",AUT
United Arab Emirates,Very high,0.049,3.0,3.1,50.0,82.0,85.6,46.5,88.0,26,0.911,78.7,15.7,12.7,"62,574",ARE
Spain,Very high,0.057,4.0,6.3,42.3,78.5,83.2,52.7,62.4,27,0.905,83.0,17.9,10.6,"38,354",ESP
France,Very high,0.083,8.0,9.5,37.8,83.5,87.9,51.9,59.7,28,0.903,82.5,15.8,11.6,"45,937",FRA
Cyprus,Very high,0.123,6.0,6.8,14.3,81.1,84.8,56.6,68.8,29,0.896,81.2,15.6,12.4,"38,188",CYP
Italy,Very high,0.056,2.0,4.0,35.3,78.6,86.1,39.9,57.6,30,0.895,82.9,16.2,10.7,"42,840",ITA
Estonia,Very high,0.1,9.0,8.8,25.7,97.6,98.1,57.5,70.2,31,0.89,77.1,15.9,13.5,"38,048",EST
Czechia,Very high,0.12,3.0,9.7,22.1,99.8,99.8,51.7,68.1,32,0.889,77.7,16.2,12.9,"38,745",CZE
